
Tenant: Italian Trattoria,,Product Summary Report
,,Report as of 07/22/2026

"Product name","Item count","Category","Available in Recipe","Available in Inventory","Product unit","Last purchased","Cost","Last purchased vendor","Last purchased location"
"Disposable, Plastic Lid For Small Cup 2oz",3,Disposable,false,false,each,02/03/2026 00:00:00,0.01,Simply Pak LLC,IT - 1656 Collins Ave
"Disposable, SUPP Carrier for Cups",3,Disposable,false,true,pack,02/03/2026 00:00:00,0.12,SimplyPak,IT - 1656 Collins Ave
"Dairy, Swiss",1,Food - other,false,true,lb,02/04/2026 00:00:00,6.12,ACE ENDICO,IT - 390 Fifth Ave
"Produce, Chives",1,Food - other,false,true,lb,02/04/2026 00:00:00,15.76,ACE ENDICO,IT - 390 Fifth Ave
"Dry Goods, Sprinkles Chocolate",1,Food - other,false,false,lb,02/04/2026 00:00:00,3.38,ACE ENDICO,IT - 390 Fifth Ave
"Produce, Apple Honey Crisp",1,Food - other,false,true,each,02/04/2026 00:00:00,0.11,ACE ENDICO,IT - 390 Fifth Ave
"Dry Goods, Whole Rosemary",1,Dry Goods,true,false,lb,02/05/2026 00:00:00,12.15,VIANDER INC,IT - 1014 Lincoln Rd
"Produce, Chickpeas",2,Food - other,true,true,lb,02/10/2026 00:00:00,0.58,ACE ENDICO,IT - 530 Seventh Ave
"NA Bev, Tea Lemon Indian Black",1,Food - other,false,false,lb,02/10/2026 00:00:00,2.77,ACE ENDICO,IT - 530 Seventh Ave
"Wine White, Bennati Pinot Grigio Fruili 23",1,Liquor,false,false,liter,02/12/2026 00:00:00,19.99,Southern Glazer,IT - 530 Seventh Ave
"Dry Goods, Whole Peeled Tomatoes",1,Dry Goods,true,true,lb,02/13/2026 00:00:00,0.86,SOGNO TOSCANO,IT - 390 Fifth Ave
"Dry Goods, White Truffle Oil",1,Dry Goods,false,false,liter,02/13/2026 00:00:00,102.08,SOGNO TOSCANO,IT - 390 Fifth Ave
"Dry Goods, Past Gnocchi GF Gluten Free",1,Dry Goods,false,false,lb,02/13/2026 00:00:00,3.63,SOGNO TOSCANO,IT - 390 Fifth Ave
"Dry Goods, Lasagna De Cecco Pasta",1,Food - other,false,true,lb,02/13/2026 00:00:00,3.81,ACE ENDICO,IT - 530 Seventh Ave
"Dry Goods, Whole Yellow Datterino Tomatos",2,Dairy,false,false,lb,02/13/2026 00:00:00,7.47,SOGNO TOSCANO,IT - 390 Fifth Ave
"Dairy, Romano Grated",2,Dairy,false,true,lb,02/13/2026 00:00:00,4,SOGNO TOSCANO,IT - 390 Fifth Ave
"Baked Goods, Ladyfinger Cookie",3,Food - other,false,true,lb,02/16/2026 00:00:00,6.94,ACE ENDICO,IT - 390 Fifth Ave
"Tequila, Don Julio Blanco",3,Liquor,true,true,each,02/17/2026 00:00:00,32,Fifth Ave House Vendor,IT - 390 Fifth Ave
"Gin, Gordon's London",1,Liquor,false,false,liter,02/17/2026 00:00:00,12,Fifth Ave House Vendor,IT - 390 Fifth Ave
"Produce, Blackberry",1,Food - other,false,true,liter,02/17/2026 00:00:00,3.43,ACE ENDICO,IT - 390 Fifth Ave
"Beer, Yungling Lager Bottles",1,Beer - Other,false,false,each,02/17/2026 00:00:00,1.08,Fifth Ave House Vendor,IT - 390 Fifth Ave
"Liqueur, Sambuca Ramazzotti",4,Liquor,false,false,liter,02/18/2026 00:00:00,248,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Liqueur, Jagermeister",4,Liquor,false,false,liter,02/18/2026 00:00:00,351,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Liqueur, Kahlua",5,Liquor,false,true,each,02/18/2026 00:00:00,385.92,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Whiskey, Makers Mark",4,Liquor,false,false,liter,02/18/2026 00:00:00,414.4,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Baked Goods, Bindi Belgian Waffle",2,Baked Goods,false,true,each,02/18/2026 00:00:00,1.35,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Whiskey, Crown Royal",3,Liquor,false,false,liter,02/18/2026 00:00:00,35,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Vodka, Skyy",4,Liquor,false,true,liter,02/18/2026 00:00:00,202.8,Lincoln House Vendor,IT - 1014 Lincoln Rd
"NA Bev, Bloody Mary Mix",4,NA Beverage - Other,false,false,liter,02/18/2026 00:00:00,8.74,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Whiskey, Jim Beam",4,Liquor,false,false,liter,02/18/2026 00:00:00,112.29,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Vodka, Belvedere",4,Liquor,false,false,liter,02/18/2026 00:00:00,243.6,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Whiskey, J&B Scotch",4,Liquor,false,false,liter,02/18/2026 00:00:00,365.4,Lincoln House Vendor,IT - 1014 Lincoln Rd
