
Tenant: Italian Trattoria,,Item Library
,,Report as of 07/22/2026

"Location Name","Vendor Name","Item Code","Item Description","UOM","Item UOM","Pack/Size/Unit","Weighable","Category","GL Code","Contracted Price ($)","Last Purchased Date","Last Purchased Price ($)","Close Watch","Product(s)"
IT - 1656 Collins Ave,"Superior Superfoods, LLC",100359,14 x 1 Lb Red Radish,cs,ea,14 1 lb,false,Produce,Food Purchases,0,02/07/2026,26.63,false,"Produce, Radish Red"
IT - 1014 Lincoln Rd,"Superior Superfoods, LLC",100359,14 x 1 Lb Red Radish,cs,ea,14 1 lb,false,Produce,Food Purchases,0,02/19/2026,26.63,false,"Produce, Radish Red"
IT - 1014 Lincoln Rd,"Superior Superfoods, LLC",100296,15 Dz Loose Eggs,cs,ea,15 1 dozen,false,Dairy,Food Purchases,0,02/23/2026,57,false,"Protein, Eggs"
IT - 1656 Collins Ave,"Superior Superfoods, LLC",100296,15 Dz Loose Eggs,cs,ea,15 1 dozen,false,Dairy,Food Purchases,0,02/21/2026,57,false,"Protein, Eggs"
IT - 1014 Lincoln Rd,I Halper Paper and Supplies Inc,SO-PL2,1.5 Oz Lid Souffle Cup,cs,,1 2500 ct,false,Disposable,Disposable,0,01/01/2026,24.95,false,"Disposable, Plastic Lid For Small Cup 1.5oz"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,SO-PL2,1.5 Oz Lid Souffle Cup,cs,,1 2500 ct,false,Disposable,Disposable,0,07/08/2026,29.95,false,"Disposable, Plastic Lid For Small Cup 1.5oz"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,SO-PL2,1.5 Oz Lid Souffle Cup,cs,,1 2500 ct,false,Disposable,Disposable,0,07/08/2026,29.95,false,"Disposable, Plastic Lid For Small Cup 1.5oz"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,SO-PL2,1.5 Oz Lid Souffle Cup,cs,,1 2500 ct,false,Disposable,Disposable,0,07/12/2026,29.95,false,"Disposable, Plastic Lid For Small Cup 1.5oz"
IT - 1656 Collins Ave,SimplyPak,245048_XC15668124,1.5oz Plastic Souffle Cup PP-62mm| 2500pcs.,cs,pack,2500 1 ea,false,Disposable,Disposable,0,05/26/2026,24.36,false,"Disposable, 1.5 oz Souffle Portion Cup"
IT - 1656 Collins Ave,SimplyPak,245048_XC14486122,"1,5oz Plastic Souffle Cup PP-62mmZ 2500pcs .",cs,pack,2500 1 ea,false,Disposable,Disposable,0,01/13/2026,24.36,false,"Disposable, 1.5 oz Souffle Portion Cup"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,FK-PC150,1.5 Oz Souffle Cup,cs,pack,2500 1 ea,false,Disposable,Disposable,29.9,05/06/2026,29.95,false,"Disposable, 1.5 oz Souffle Portion Cup"
IT - 1014 Lincoln Rd,I Halper Paper and Supplies Inc,FK-PC150,1.5 Oz Souffle Cup,cs,pack,2500 1 ea,false,Disposable,Disposable,29.9,01/01/2026,29.95,false,"Disposable, 1.5 oz Souffle Portion Cup"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,FK-PC150,1.5 Oz Souffle Cup,cs,pack,2500 1 ea,false,Disposable,Disposable,29.9,07/12/2026,29.95,false,"Disposable, 1.5 oz Souffle Portion Cup"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,FK-PC150,1.5 Oz Souffle Cup,cs,pack,2500 1 ea,false,Disposable,Disposable,29.9,07/20/2026,29.95,false,"Disposable, 1.5 oz Souffle Portion Cup"
IT - 1656 Collins Ave,SimplyPak,DN3000- ND1502W,"15"" x 17"" White 2- Ply DINNER Napkin 3000 pcs",cs,pack,3000 1 ct,false,Disposable,Disposable,0,04/21/2026,36.21,false,"Disposables, SUPP Napkin"
IT - 1656 Collins Ave,SimplyPak,245048_XC14486119,"15"" x 17"" White 2- Ply DINNER Napkin 3000 pcs.",ea,pack,3000 1 ct,false,Disposable,Disposable,0,02/09/2026,36.21,false,"Disposables, SUPP Napkin"
IT - 1014 Lincoln Rd,SimplyPak,245048_XC14486119,"15"" x 17"" White 2- Ply DINNER Napkin 3000 pcs.",ea,pack,3000 1 ct,false,Disposable,Disposable,0,05/12/2026,36.21,false,"Disposables, SUPP Napkin"
IT - 1014 Lincoln Rd,I Halper Paper and Supplies Inc,FK-16-ITTRATTORIA,16 oz Cold Cup Logo,cs,each,1000 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Cold Cup LOGO 16oz"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,FK-16-ITTRATTORIA,16 oz Cold Cup Logo,cs,each,1000 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Cold Cup LOGO 16oz"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,FK-16-ITTRATTORIA,16 oz Cold Cup Logo,cs,each,1000 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Cold Cup LOGO 16oz"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,FK-16-ITTRATTORIA,16 oz Cold Cup Logo,cs,each,1000 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Cold Cup LOGO 16oz"
IT - 1014 Lincoln Rd,SimplyPak,16ozDWITRA-Custom,16 oz Double wall hot cup| 16oz  DWITRA 500 pcs,cs,,1 500 ct,false,Disposable,Disposable,0,01/01/2026,47.26,false,"Disposable, Cup 16oz Paper Custom P"
IT - 1656 Collins Ave,SimplyPak,16ozDWITRA-Custom,16 oz Double wall hot cup| 16oz  DWITRA 500 pcs,cs,,1 500 ct,false,Disposable,Disposable,0,01/01/2026,47.26,false,"Disposable, Cup 16oz Paper Custom P"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,MC-16DW-ITTRATTORIA,16 Oz Hot Cup Logo,cs,ea,500 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Hot Cup LOGO 16oz"
IT - 1014 Lincoln Rd,I Halper Paper and Supplies Inc,MC-16DW-ITTRATTORIA,16 Oz Hot Cup Logo,cs,ea,500 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Hot Cup LOGO 16oz"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,MC-16DW-ITTRATTORIA,16 Oz Hot Cup Logo,cs,ea,500 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Hot Cup LOGO 16oz"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,MC-16DW-ITTRATTORIA,16 Oz Hot Cup Logo,cs,ea,500 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Hot Cup LOGO 16oz"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,FL-311698,16 Oz Plastic Cup,cs,ea,1000 1 ea,false,Disposable,Disposable,0,06/01/2026,59.9,false,"Disposable, Cold Cup 16oz PET"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,FL-311698,16 Oz Plastic Cup,cs,ea,1000 1 ea,false,Disposable,Disposable,0,01/01/2026,59.9,false,"Disposable, Cold Cup 16oz PET"
IT - 1014 Lincoln Rd,I Halper Paper and Supplies Inc,FL-311698,16 Oz Plastic Cup,cs,ea,1000 1 ea,false,Disposable,Disposable,0,01/01/2026,59.9,false,"Disposable, Cold Cup 16oz PET"
